ANIO,MES,FECHA,IHH_BAF_E
2013,03,15MAR2013,"5,649"
2013,06,15JUN2013,"5,593"
2013,09,15SEP2013,"5,468"
2013,12,15DEC2013,"5,343"
2014,03,15MAR2014,"5,218"
2014,06,15JUN2014,"5,102"
2014,09,15SEP2014,"5,037"
2014,12,15DEC2014,"4,693"
2015,03,15MAR2015,"4,620"
2015,06,15JUN2015,"4,480"
2015,09,15SEP2015,"4,349"
2015,12,15DEC2015,"4,243"
2016,03,15MAR2016,"4,166"
2016,06,15JUN2016,"4,120"
2016,09,15SEP2016,"4,032"
2016,12,15DEC2016,"4,009"
2017,03,15MAR2017,"3,963"
2017,06,15JUN2017,"3,891"
2017,09,15SEP2017,"3,805"
2017,12,15DEC2017,"3,733"
2018,03,15MAR2018,"3,675"
2018,06,15JUN2018,"3,611"
2018,09,15SEP2018,"3,562"
2018,12,15DEC2018,"3,577"
2019,03,15MAR2019,"3,578"
2019,06,15JUN2019,"3,517"
